part,spare,seed,rep,pass_name,seconds
A-L1,0,4,2,UnitarySynthesis,6.9141387939453125e-06
A-L1,0,4,2,HighLevelSynthesis,0.00012755393981933594
A-L1,0,4,2,BasisTranslator,0.0015459060668945312
A-L1,0,4,2,InverseCancellation,0.00024390220642089844
A-L1,0,4,2,ContractIdleWiresInControlFlow,4.291534423828125e-06
A-L1,0,4,2,SetLayout,6.29425048828125e-05
A-L1,0,4,2,FullAncillaAllocation,2.1696090698242188e-05
A-L1,0,4,2,EnlargeWithAncilla,2.384185791015625e-06
A-L1,0,4,2,ApplyLayout,0.00022220611572265625
A-L1,0,4,2,CheckMap,6.747245788574219e-05
A-L1,0,4,2,FilterOpNodes,0.00043702125549316406
A-L1,0,4,2,Size,6.9141387939453125e-06
A-L1,0,4,2,Depth,0.0002117156982421875
A-L1,0,4,2,FixedPoint,1.9073486328125e-05
A-L1,0,4,2,Optimize1qGatesDecomposition,0.0035774707794189453
A-L1,0,4,2,GatesInBasis,0.0001308917999267578
A-L1,0,4,3,ContainsInstruction,1.049041748046875e-05
A-L1,0,4,3,UnitarySynthesis,6.9141387939453125e-06
A-L1,0,4,3,HighLevelSynthesis,0.00014209747314453125
A-L1,0,4,3,BasisTranslator,0.002277851104736328
A-L1,0,4,3,InverseCancellation,0.00023865699768066406
A-L1,0,4,3,ContractIdleWiresInControlFlow,3.814697265625e-06
A-L1,0,4,3,SetLayout,5.53131103515625e-05
A-L1,0,4,3,FullAncillaAllocation,2.2172927856445312e-05
A-L1,0,4,3,EnlargeWithAncilla,2.384185791015625e-06
A-L1,0,4,3,ApplyLayout,0.00020456314086914062
A-L1,0,4,3,CheckMap,9.179115295410156e-05
A-L1,0,4,3,FilterOpNodes,0.00036835670471191406
A-L1,0,4,3,Size,7.62939453125e-06
A-L1,0,4,3,Depth,0.0002353191375732422
A-L1,0,4,3,FixedPoint,1.9550323486328125e-05
A-L1,0,4,3,Optimize1qGatesDecomposition,0.0024356842041015625
A-L1,0,4,3,GatesInBasis,0.0001327991485595703
A-L1,0,4,4,ContainsInstruction,1.0251998901367188e-05
A-L1,0,4,4,UnitarySynthesis,7.152557373046875e-06
A-L1,0,4,4,HighLevelSynthesis,0.00011754035949707031
A-L1,0,4,4,BasisTranslator,0.0011932849884033203
A-L1,0,4,4,InverseCancellation,0.0002460479736328125
A-L1,0,4,4,ContractIdleWiresInControlFlow,4.0531158447265625e-06
A-L1,0,4,4,SetLayout,5.650520324707031e-05
A-L1,0,4,4,FullAncillaAllocation,2.193450927734375e-05
A-L1,0,4,4,EnlargeWithAncilla,1.6689300537109375e-06
A-L1,0,4,4,ApplyLayout,0.00020456314086914062
