Round,Spare,Qubits,LayoutSearch,Seed,Arm,Time_s,Status,Error,FidelityCheck,FidelityDetail,Infidelity,TwoQubitGates,CouplingViolations,Depth,QiskitLevel,RoutingOptimizationLevel,Grid,Timestamp
4,0,42,True,2,psf_zero_ls1,0.024676799999724608,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-16T23:26:12.563138
4,2,40,-,0,qiskit_opt3,0.02714410000044154,success,,structural_only,,,60,0,16,3,1,6x7,2026-09-16T23:26:12.697530
4,2,40,False,0,psf_zero_ls0,0.017531900000903988,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:26:12.727817
4,2,40,True,0,psf_zero_ls1,0.017788499999369378,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:26:12.747927
4,2,40,-,1,qiskit_opt3,0.026936700000078417,success,,structural_only,,,60,0,16,3,1,6x7,2026-09-16T23:26:12.872828
4,2,40,False,1,psf_zero_ls0,0.01804979999906209,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:26:12.902181
4,2,40,True,1,psf_zero_ls1,0.017667599999185768,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:26:12.923823
4,2,40,-,2,qiskit_opt3,0.026317500000004657,success,,structural_only,,,60,0,16,3,1,6x7,2026-09-16T23:26:13.050900
4,2,40,False,2,psf_zero_ls0,0.01613540000107605,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:26:13.079042
4,2,40,True,2,psf_zero_ls1,0.016523500000403146,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-16T23:26:13.098296
4,4,38,-,0,qiskit_opt3,0.027215699999942444,success,,structural_only,,,57,0,16,3,1,6x7,2026-09-16T23:26:13.218957
4,4,38,False,0,psf_zero_ls0,0.01729679999880318,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:26:13.249286
4,4,38,True,0,psf_zero_ls1,0.01601929999924323,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:26:13.269554
4,4,38,-,1,qiskit_opt3,0.027218299999731244,success,,structural_only,,,57,0,16,3,1,6x7,2026-09-16T23:26:13.387298
4,4,38,False,1,psf_zero_ls0,0.01673589999882097,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:26:13.416492
4,4,38,True,1,psf_zero_ls1,0.01880630000050587,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:26:13.435803
4,4,38,-,2,qiskit_opt3,0.028228999999555526,success,,structural_only,,,57,0,16,3,1,6x7,2026-09-16T23:26:13.563999
4,4,38,False,2,psf_zero_ls0,0.01689749999968626,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:26:13.594478
4,4,38,True,2,psf_zero_ls1,0.017104599999584025,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-16T23:26:13.613586
4,8,34,-,0,qiskit_opt3,0.03187889999935578,success,,structural_only,,,51,0,16,3,1,6x7,2026-09-16T23:26:13.727337
4,8,34,False,0,psf_zero_ls0,0.016512399999555782,success,,structural_only,,,102,0,22,3,1,6x7,2026-09-16T23:26:13.761688
4,8,34,True,0,psf_zero_ls1,0.01630499999919266,success,,structural_only,,,102,0,22,3,1,6x7,2026-09-16T23:26:13.780017
4,8,34,-,1,qiskit_opt3,0.03135380000094301,success,,structural_only,,,51,0,16,3,1,6x7,2026-09-16T23:26:13.891281
4,8,34,False,1,psf_zero_ls0,0.016153399999893736,success,,structural_only,,,102,0,22,3,1,6x7,2026-09-16T23:26:13.924659
