part,spare,seed,mode,rep,component,seconds,count
A,0,2,instrumented,2,A4 qiskit transpile L1 [total],0.013726995000013176,1
A,0,2,instrumented,2,A0 compile_for_hardware [total],0.07778462999999647,
A,0,2,instrumented,2,"A1c  compile other (to_matrix, compose, loop)",0.002100824000422108,
A,0,2,instrumented,2,"A1b.4 synthesize other (tolist, verify, checks)",0.0013835839994840171,
A,0,2,instrumented,2,"A5 compile_for_hardware other (pair collection, import)",0.0004668579999815847,
A,0,2,instrumented,2,refine_triggered,,12
A,0,2,instrumented,2,cx_cache_hit,,0
A,0,2,instrumented,2,cx_cache_miss,,60
A,0,2,instrumented,3,A1a  consolidate (Collect2qBlocks+ConsolidateBlocks),0.007951654000009967,1
A,0,2,instrumented,3,A1b.1 core decompose (Rust),0.0007643150001968024,60
A,0,2,instrumented,3,A1b.2 polish (check + Gauss-Newton),0.01176672000013923,60
A,0,2,instrumented,3,A1b.3a cx core lookup/build,0.018352809999896635,60
A,0,2,instrumented,3,A1b.3 build circuit (incl. CX core),0.024895244999925126,60
A,0,2,instrumented,3,A1b  synthesize [all blocks],0.03894488900016313,60
A,0,2,instrumented,3,A1 psf.compile [total],0.049002808000011555,1
A,0,2,instrumented,3,A2a  matching check (networkx),0.002186974000039754,1
A,0,2,instrumented,3,A2b  orderings,0.0002471490000175436,1
A,0,2,instrumented,3,A2c  relabel graph,9.69530000247687e-05,2
A,0,2,instrumented,3,A2d  vf2_mapping (rustworkx),0.012573914999961744,2
A,0,2,instrumented,3,A2 layout search [total],0.01524322399995981,1
A,0,2,instrumented,3,A3 layout map -> list,1.7352999975628336e-05,1
A,0,2,instrumented,3,A4 qiskit transpile L1 [total],0.015132112000003417,1
A,0,2,instrumented,3,A0 compile_for_hardware [total],0.07989043800000672,
A,0,2,instrumented,3,"A1c  compile other (to_matrix, compose, loop)",0.0021062649998384586,
A,0,2,instrumented,3,"A1b.4 synthesize other (tolist, verify, checks)",0.0015186089999019714,
A,0,2,instrumented,3,"A5 compile_for_hardware other (pair collection, import)",0.0004949410000563148,
A,0,2,instrumented,3,refine_triggered,,12
A,0,2,instrumented,3,cx_cache_hit,,0
A,0,2,instrumented,3,cx_cache_miss,,60
A,0,2,instrumented,4,A1a  consolidate (Collect2qBlocks+ConsolidateBlocks),0.008301603999996132,1
A,0,2,instrumented,4,A1b.1 core decompose (Rust),0.0007563639998693361,60
A,0,2,instrumented,4,A1b.2 polish (check + Gauss-Newton),0.012169736000146258,60
A,0,2,instrumented,4,A1b.3a cx core lookup/build,0.019582051999975647,60
A,0,2,instrumented,4,A1b.3 build circuit (incl. CX core),0.02631264099989039,60
A,0,2,instrumented,4,A1b  synthesize [all blocks],0.04062814000008075,60
A,0,2,instrumented,4,A1 psf.compile [total],0.05105529299999034,1
A,0,2,instrumented,4,A2a  matching check (networkx),0.002200530000038725,1
A,0,2,instrumented,4,A2b  orderings,0.00020687299996779984,1
A,0,2,instrumented,4,A2c  relabel graph,7.844900000009147e-05,2
A,0,2,instrumented,4,A2d  vf2_mapping (rustworkx),0.012933556999996654,2
A,0,2,instrumented,4,A2 layout search [total],0.015531021000015244,1
A,0,2,instrumented,4,A3 layout map -> list,1.0069000040857645e-05,1
A,0,2,instrumented,4,A4 qiskit transpile L1 [total],0.014643178000028456,1
A,0,2,instrumented,4,A0 compile_for_hardware [total],0.08171242899999243,
A,0,2,instrumented,4,"A1c  compile other (to_matrix, compose, loop)",0.0021255489999134625,
A,0,2,instrumented,4,"A1b.4 synthesize other (tolist, verify, checks)",0.0013893990001747625,
A,0,2,instrumented,4,"A5 compile_for_hardware other (pair collection, import)",0.0004728679999175256,
A,0,2,instrumented,4,refine_triggered,,12
A,0,2,instrumented,4,cx_cache_hit,,0
A,0,2,instrumented,4,cx_cache_miss,,60
A,0,3,plain,0,total,0.085748040999988,1
A,0,3,plain,1,total,0.08499236400001564,1
A,0,3,plain,2,total,0.08227385599997206,1
A,0,3,plain,3,total,0.0843515029999935,1
A,0,3,plain,4,total,0.08167249399997445,1
A,0,3,instrumented,0,A1a  consolidate (Collect2qBlocks+ConsolidateBlocks),0.007876592000002347,1
A,0,3,instrumented,0,A1b.1 core decompose (Rust),0.0007674580000980313,60
A,0,3,instrumented,0,A1b.2 polish (check + Gauss-Newton),0.014781974000186437,60
A,0,3,instrumented,0,A1b.3a cx core lookup/build,0.019020239999917976,60
A,0,3,instrumented,0,A1b.3 build circuit (incl. CX core),0.025579455999832135,60
A,0,3,instrumented,0,A1b  synthesize [all blocks],0.04295606300001964,60
A,0,3,instrumented,0,A1 psf.compile [total],0.05292647300001363,1
A,0,3,instrumented,0,A2a  matching check (networkx),0.002257187999987309,1
A,0,3,instrumented,0,A2b  orderings,0.0002480009999885624,1
A,0,3,instrumented,0,A2c  relabel graph,7.67059999589037e-05,2
A,0,3,instrumented,0,A2d  vf2_mapping (rustworkx),0.012617887000033079,2
A,0,3,instrumented,0,A2 layout search [total],0.015312346000030175,1
A,0,3,instrumented,0,A3 layout map -> list,1.5279000024293055e-05,1
A,0,3,instrumented,0,A4 qiskit transpile L1 [total],0.013709821000020384,1
A,0,3,instrumented,0,A0 compile_for_hardware [total],0.08246212400001696,
A,0,3,instrumented,0,"A1c  compile other (to_matrix, compose, loop)",0.002093817999991643,
A,0,3,instrumented,0,"A1b.4 synthesize other (tolist, verify, checks)",0.0018271749999030362,
A,0,3,instrumented,0,"A5 compile_for_hardware other (pair collection, import)",0.0004982049999284754,
A,0,3,instrumented,0,refine_triggered,,18
A,0,3,instrumented,0,cx_cache_hit,,0
A,0,3,instrumented,0,cx_cache_miss,,60
A,0,3,instrumented,1,A1a  consolidate (Collect2qBlocks+ConsolidateBlocks),0.00836075099999789,1
A,0,3,instrumented,1,A1b.1 core decompose (Rust),0.000708215999964068,60
A,0,3,instrumented,1,A1b.2 polish (check + Gauss-Newton),0.014644746999977087,60
A,0,3,instrumented,1,A1b.3a cx core lookup/build,0.01851795999988326,60
A,0,3,instrumented,1,A1b.3 build circuit (incl. CX core),0.025024690000122973,60
A,0,3,instrumented,1,A1b  synthesize [all blocks],0.042204697999977725,60
A,0,3,instrumented,1,A1 psf.compile [total],0.0526478830000201,1
A,0,3,instrumented,1,A2a  matching check (networkx),0.0022646420000000944,1
A,0,3,instrumented,1,A2b  orderings,0.0002452159999961623,1
A,0,3,instrumented,1,A2c  relabel graph,7.897000000411936e-05,2
A,0,3,instrumented,1,A2d  vf2_mapping (rustworkx),0.012611955000011221,2
A,0,3,instrumented,1,A2 layout search [total],0.015319768999972894,1
A,0,3,instrumented,1,A3 layout map -> list,1.0870999972212303e-05,1
A,0,3,instrumented,1,A4 qiskit transpile L1 [total],0.014054540000017823,1
