Threads,Seed,Qubits,Layer,Status,Time_min_s,Time_median_s,Platform,Python,StartMethod,CPU,CPU_count,Qiskit,numpy,Fixture,core_file,core_bytes,core_ext,blas
1,1,-1,core_raw_checked,skipped,,,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,1,-1,numpy_ref,success,0.004003500000010263,0.004311700000016572,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,1,-1,synth_1block_canonical,success,0.010391100000049391,0.011268299999983356,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,1,-1,synth_1block_cx,success,0.010416200000008757,0.010982500000011441,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,1,15,prep,success,0.00017539999998916755,0.00018010000002277593,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,1,15,canonical_verifyFalse,success,0.001184200000011515,0.0013420000000223808,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,1,15,canonical_verifyTrue,success,0.0019155999999611595,0.00201139999995803,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,1,15,cx_verifyFalse,success,0.0020076999999787404,0.002051300000005085,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,1,15,cx_verifyTrue,success,0.0027369000000021515,0.00289989999998852,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,1,50,prep,success,0.0004256000000282256,0.0004738000000088505,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,1,50,canonical_verifyFalse,success,0.0034402000000000044,0.003695199999981469,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,1,50,canonical_verifyTrue,success,0.0064135000000078435,0.006887399999982335,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,1,50,cx_verifyFalse,success,0.003730000000018663,0.0040709999999535285,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,1,50,cx_verifyTrue,success,0.007601700000009259,0.010135300000001735,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,1,156,prep,success,0.0012763999999947373,0.001383099999998194,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,1,156,canonical_verifyFalse,success,0.01081490000001395,0.011972200000002431,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,1,156,canonical_verifyTrue,success,0.020426700000029996,0.021760799999981373,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,1,156,cx_verifyFalse,success,0.011998000000005504,0.01230899999995927,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,1,156,cx_verifyTrue,success,0.02156120000000783,0.022071299999993244,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,2,-1,core_raw,success,0.0019546999999988657,0.002079100000003109,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,2,-1,core_raw_checked,skipped,,,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,2,-1,numpy_ref,success,0.003933000000017728,0.004240000000038435,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,2,-1,synth_1block_canonical,success,0.011517200000014327,0.01194530000003624,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,2,-1,synth_1block_cx,success,0.011022200000013527,0.011231899999984307,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,2,15,prep,success,0.00016990000000305372,0.00018039999997654377,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
1,2,15,canonical_verifyFalse,success,0.0011933999999769185,0.0013000000000147338,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
