backend,twoq,tape_seed,arm,routed_2q,n_1q,size,depth,tvd_noisy,psf_fallbacks
FakeOsaka,ecr,2,P,6,68,74,21,0.022234814101427126,0
FakeOsaka,ecr,2,T,6,74,80,23,0.021674814101427117,
FakeOsaka,ecr,3,A,6,78,84,23,0.01031890697904309,
FakeOsaka,ecr,3,Z,6,68,74,21,0.011437150424441805,
FakeOsaka,ecr,3,P,6,68,74,21,0.0117859870870445,0
FakeOsaka,ecr,3,T,6,74,80,23,0.01398952442499387,
FakeOsaka,ecr,4,A,6,78,84,23,0.021779337552352857,
FakeOsaka,ecr,4,Z,6,68,74,21,0.024289337552352866,
FakeOsaka,ecr,4,P,6,68,74,21,0.02227933755235286,0
FakeOsaka,ecr,4,T,6,74,80,23,0.023409337552352867,
FakePittsburgh,cz,0,A,6,70,76,22,0.012041262392163205,
FakePittsburgh,cz,0,Z,6,66,72,23,0.012031262392163188,
FakePittsburgh,cz,0,P,6,66,72,23,0.011855934944416167,0
FakePittsburgh,cz,0,T,6,58,64,19,0.011486817962825012,
FakePittsburgh,cz,1,A,6,70,76,22,0.007468592795531029,
FakePittsburgh,cz,1,Z,6,66,72,23,0.0074585927955310265,
FakePittsburgh,cz,1,P,6,66,72,23,0.007471110195617207,0
FakePittsburgh,cz,1,T,6,58,64,19,0.007470216635870271,
FakePittsburgh,cz,2,A,6,70,76,22,0.00845095348266038,
FakePittsburgh,cz,2,Z,6,66,72,23,0.008480953482660378,
FakePittsburgh,cz,2,P,6,66,72,23,0.008480953482660378,0
FakePittsburgh,cz,2,T,6,58,64,19,0.008610855051660454,
FakePittsburgh,cz,3,A,6,70,76,22,0.007045644678711778,
FakePittsburgh,cz,3,Z,6,66,72,23,0.00705564467871176,
FakePittsburgh,cz,3,P,6,66,72,23,0.007035644678711759,0
FakePittsburgh,cz,3,T,6,58,64,19,0.006571935083248891,
FakePittsburgh,cz,4,A,6,70,76,22,0.006740236346071831,
FakePittsburgh,cz,4,Z,6,66,72,23,0.006750090504741714,
FakePittsburgh,cz,4,P,6,66,72,23,0.006870090504741724,0
FakePittsburgh,cz,4,T,6,58,64,19,0.008534451498270996,
FakeQuebec,ecr,0,A,6,78,84,23,0.030716817962825032,
FakeQuebec,ecr,0,Z,6,68,74,21,0.029566817962825027,
FakeQuebec,ecr,0,P,6,68,74,21,0.031246817962825035,0
FakeQuebec,ecr,0,T,6,74,80,23,0.029035934944416163,
FakeQuebec,ecr,1,A,6,78,84,23,0.01574242723019476,
FakeQuebec,ecr,1,Z,6,68,74,21,0.018532427230194756,
FakeQuebec,ecr,1,P,6,68,74,21,0.018722427230194755,0
FakeQuebec,ecr,1,T,6,74,80,23,0.017422427230194763,
FakeQuebec,ecr,2,A,6,78,84,23,0.021290855051660472,
FakeQuebec,ecr,2,Z,6,68,74,21,0.018811165223219455,
FakeQuebec,ecr,2,P,6,68,74,21,0.018811165223219455,0
FakeQuebec,ecr,2,T,6,74,80,23,0.01823730460445271,
FakeQuebec,ecr,3,A,6,78,84,23,0.011637871964819796,
FakeQuebec,ecr,3,Z,6,68,74,21,0.011375757073363446,
FakeQuebec,ecr,3,P,6,68,74,21,0.011665966357863902,0
FakeQuebec,ecr,3,T,6,74,80,23,0.013532429019914525,
FakeQuebec,ecr,4,A,6,78,84,23,0.020999337552352858,
FakeQuebec,ecr,4,Z,6,68,74,21,0.02272242028554848,
FakeQuebec,ecr,4,P,6,68,74,21,0.02125933755235287,0
FakeQuebec,ecr,4,T,6,74,80,23,0.020709337552352873,
FakeSherbrooke,ecr,0,A,6,60,66,19,0.02954946863871525,
FakeSherbrooke,ecr,0,Z,6,64,70,19,0.029809468638715256,
FakeSherbrooke,ecr,0,P,6,64,70,19,0.030679468638715245,0
FakeSherbrooke,ecr,0,T,6,74,80,23,0.02860681796282504,
FakeSherbrooke,ecr,1,A,6,60,66,19,0.018292427230194756,
FakeSherbrooke,ecr,1,Z,6,64,70,19,0.01734242723019476,
FakeSherbrooke,ecr,1,P,6,64,70,19,0.01843242723019475,0
FakeSherbrooke,ecr,1,T,6,74,80,23,0.017559909830108585,
